,MarketCap,Volume,CurrentPrice,52WeekLow,52WeekHigh,ROE(%),ROA(%),OperatingProfitMargin(%),NetProfitMargin(%),EPS,PER,PBR,PSR,PCR,DividendYield,DividendPayoutRatio
TRMB,12.39B,902.08K,49.91,45.43,62.4,1.0297139426961883,0.4667078262507456,10.185185185185185,226.90582959641256,0.1796214256947241,277.8621740383952,2.8611855475521035,12.472476813720236,87.02705731820524,0.0,
MSCI,68.32B,331.54K,510.56,388.12,572.5,-20.677860175526195,5.182320251749591,55.694937028802705,140.16124784766535,1.8445521938434577,276.79346741322064,-57.234966166696424,109.98756770714681,234.12820795557357,0.010557035462578369,-0.44612579762989973
PTC,16.96B,708.7K,142.86,106.8,152.09,2.3626755902263623,0.9890700972300462,20.25677524514052,178.93253851917,0.5171185284382344,276.2616165423573,6.52716577921103,31.27530365058884,100.23407416525916,0.0,
WAT,41.07B,451.05K,252.61,248.18,353.71,19.521309494326587,3.3101915572679803,26.98696690143888,132.74904685362063,0.9260530459600433,272.78135060661634,53.25049169472169,55.45456976627452,2266.7139562439847,0.0,
FDS,17.04B,184.76K,446.63,377.89,474.13,4.015818920381515,1.6482721888006135,26.4805514028634,218.01167793484942,1.7060663661913642,261.7893498949122,10.512986244623653,31.7979587253398,109.44466429730127,0.008373821640087318,-0.5719729563614013
DXCM,30.06B,5.06M,76.19,74.75,139.55,5.5179965720815085,1.6992390810327385,14.702169172500861,110.5263157894737,0.2937151545869235,259.4009919187136,14.313737842020046,34.50542288922175,157.98515482595326,0.0,
CTAS,98.76B,262.16K,512.63,388.94,525.37,9.443832025181264,4.416273943966528,21.370003372710077,129.98584728047052,1.9988033910991847,256.46844865562605,24.22044948862558,42.164064222612424,293.11060425455713,0.009363478443087393,-0.30529623329914174
XYL,23.14B,900.46K,90.17,88.0,118.58,0.9283551967709384,0.5715350686463316,8.536585365853659,159.7826086956522,0.35853468433359315,251.49588619729747,2.3347751291777366,13.436481724826578,826.3436260768345,0.014306310593275336,-0.8586956521739131
EFX,33.67B,609.18K,178.42,145.98,240.35,3.2863626642587267,1.1986583347056223,17.979659987856706,171.294287780188,0.7329093799682035,243.44073502877788,8.000345425582772,25.552408663084382,128.4542298911865,0.008743414505154524,-0.34490238611713664
WTW,22.38B,579.01K,213.24,195.29,258.93,0.9517059835982586,0.32669516560664513,7.040296433534044,161.70212765957444,0.8957215801550178,238.06505304500953,2.265679354685724,10.365037047814218,75.60173981834762,0.01566310220390175,-0.9574468085106383
PAYC,15.33B,324.49K,264.97,252.12,374.04,4.586385722460963,1.6327621432824957,21.754553907747688,135.26257052514106,1.1147839941858992,237.68730319294235,10.901256537743608,38.22773166607053,144.81937568747986,0.0028305091011993386,
LRCX,190.1B,1.2M,645.12,312.71,726.53,9.774910927566438,4.272986127997428,26.700292492930878,106.70498681057697,2.7234463497320793,236.87633691798317,23.154450942215032,59.27246391578456,169.32198428034243,0.01112196188973595,-0.2895019170455692
BDX,95.87B,1.02M,258.7,217.7,287.32,1.5691868758915835,0.7676782918686459,12.648626486264863,151.5970515970516,1.09823569622683,235.55964634534996,3.6963710553478597,19.654115633980613,88.77108894681244,0.014070351094869675,-0.7027027027027027
GS,285.44B,1.76M,309.3,301.87,389.58,1.0482758620689656,0.07740292807129218,,,1.3176414003084014,234.7376059378336,2.4606976622448764,26.199259184984456,8.947711006564234,0.03313934822028147,-0.8322368421052632
CARR,46.28B,5.45M,52.56,33.93,60.04,2.401061776061776,0.7571145944300716,13.684913217623498,412.06030150753764,0.22598988854690866,232.57678346250947,5.584312247712281,7.724095445433809,120.52807267979006,0.013413241658670392,-0.7788944723618091
WBA,27.26B,20.83M,23.25,20.58,42.29,0.39974253870388565,0.1196693879620709,-1.5106593251447127,-453.3898305084746,0.10063848998297946,231.02492897033898,0.9235049161048816,0.769756928377806,-1363.047080925,0.08258064516129032,-3.516949152542373
SNPS,77.01B,747.91K,489.67,269.88,502.66,5.604311152171185,3.388533432306474,22.111319394764163,97.80135136742682,2.1381779334990876,229.01275228596094,12.834587216256278,51.776115978653046,137.62818259453414,0.0,
ISRG,95.96B,2.94M,273.15,185.82,358.07,3.5184829050895927,3.0266195795242856,26.379634375533918,110.07604562737643,1.1978366068886992,228.03610469542528,8.023411361140745,54.64866612895664,144.14540011391762,0.0,
MPWR,22.65B,342.91K,475.75,307.87,595.98,5.410504874967987,4.480910736641118,25.463130882646308,112.88490914938092,2.0899371993866964,227.6384190585303,12.316387760461838,51.347756773544184,251.16076121306205,0.007882291119285338,-0.49382939379321433
AVY,22.68B,319.31K,182.69,158.93,195.95,4.982135768161969,1.214570001088758,11.18392729012198,232.86852589641435,0.8088514515628815,225.86347850202705,11.252825149664309,10.84749736503397,119.60281245571474,0.017078110232116674,-0.651394422310757
MTD,46.29B,231.55K,1033.64,1028.56,1615.97,-238.47834568864613,6.347238231720614,29.493634668781826,135.40226338891304,4.776647779593499,216.39443859861112,-516.053877332201,47.13553789017509,173.50339028782577,0.0,
AJG,50.4B,480.22K,233.88,169.01,237.64,2.246168582375479,0.43134210855473726,15.750030713788444,164.00852878464818,1.0881367572132563,214.93622316535348,4.827829916884616,20.640707781758216,4064.7213171189833,0.009235505194564562,-0.5053304904051172
AMZN,1.41T,43.64M,129.79,81.43,145.86,4.00351122762482,1.4132958687791428,5.715752736581264,113.7925925925926,0.6233838197266347,208.20237737811053,8.335405554514455,10.457915415657085,85.2977693191458,0.0,
CL,103.99B,3.9M,70.95,67.62,82.09,159.36507936507937,3.0936094164047576,20.199087515553714,194.02390438247014,0.3424969787263528,207.1551031255362,330.13289450482273,21.566126455624048,144.03304954157778,0.026779423280117183,-0.9103585657370518
COO,17.55B,538K,325.54,250.33,399.62,1.133027827588497,0.7292281124703991,16.297570414964525,177.725674091442,1.582560296846011,205.70464783788145,2.3306909026461167,18.86326215928971,123.13408042506168,0.00018430914303954282,0.0
ADP,158.08B,1.28M,247.5,201.46,274.92,22.133880482174916,1.523807655333425,18.846797576671932,102.93549633062959,1.216063879755754,203.52549246813442,45.04808925365478,37.264149831451405,133.32061229653368,0.020202020202020204,-0.6662804171494786
NEM,31.54B,15M,39.43,34.81,55.41,0.7983517898532062,0.40647208454619355,15.169586284010435,262.58064516129036,0.19375,203.50967899445564,1.6247231647767513,11.756988536765048,47.577677592972286,0.04438244956772892,-2.0516129032258066
ADSK,44.83B,1.27M,209.47,179.61,233.69,18.407960199004975,2.437685297024267,19.479553903345725,118.01801801801801,1.0373831775700935,201.92153270824537,37.169635374154616,33.32831246188139,332.0487426757812,0.0,
IBM,313.29B,4.56M,138.46,120.55,153.21,7.10789816353105,1.1973104006413893,13.970920840064622,136.57612128869238,0.6996075331230656,197.91097173550753,14.067310325414594,20.245109418889072,118.76158766387734,0.047811640033215363,-0.9538850284270373
MA,560.43B,2.23M,398.03,291.34,418.6,50.99480193583079,7.2941236796226026,58.63774126654969,129.2091388400703,2.020596590909091,196.9863754942882,100.4528120238842,89.39643296877493,207.71913946673462,0.006959274447893896,-0.19015817223198594
CMG,66.73B,221.1K,1781.48,1344.05,2175.01,12.352876121387004,4.525560299426608,17.816519080436187,131.08926533836566,9.124375984409621,195.24403460715325,24.11825372941961,26.535880408978247,114.560193968136,0.0,
ARE,16.9B,949.25K,98.88,95.21,172.65,0.39502791114184527,0.24533230447087348,24.57169062056765,192.4324805141377,0.5263481995043032,187.8604265133609,0.7421011187178909,23.9878853497139,35.311508025180395,0.049555017557715623,-2.3276960539043996
WST,29B,193.64K,385.06,206.19,415.73,5.646776131357629,4.226618705035971,24.74131069249138,120.24500322372663,2.0597609561752988,186.9440220255455,10.556310414738453,38.46513374391365,171.36535352341673,0.0019737183940649466,-0.09090909090909091
MET,73.95B,2.83M,62.06,48.95,77.36,1.3183785911058639,0.05935515496567884,,,0.3373590387426494,183.95831813071058,2.425267082793705,4.448730306716336,24.342081595966313,0.03287141403251664,-1.072139303482587
O,35.86B,3.12M,50.59,48.42,68.85,0.6241068874425951,0.3620092423461393,40.75676630314804,212.57068290561114,0.2757088658851282,183.4906541368379,1.1451778102814765,35.181171774226165,48.79283008243558,0.06005139337491371,-2.6358826088068983
PEAK,9.51B,3.75M,17.39,16.89,28.43,0.7283402657973943,0.3326104204558709,18.349559063491192,192.84379275130541,0.09487015073351376,183.30317022997264,1.335070797268033,17.441745470115965,31.94338528408598,0.06900517781008729,-3.159097477793406
AMAT,285.46B,6.6M,141.14,74.15,155.26,10.335917312661499,5.129891483064782,28.04669260700389,115.5128205128205,0.7713097105679495,182.98745297232264,18.913431831764612,44.42963838705421,110.51507032010194,0.008218789889587299,-0.1717948717948718
NI,10.75B,3.86M,25.78,22.86,28.95,0.7766067041762421,0.21504039321671903,15.467889908256879,286.734693877551,0.14096949656721655,182.87644713516576,1.4202307488110186,9.865261551878667,21.184269289889176,0.038207912093278076,-2.0901360544217686
ALGN,20.36B,761.97K,265.99,172.05,413.2,3.073247650483014,1.8197264242296018,17.155820402265874,153.76518146207096,1.4610097736894372,182.05900810826182,5.5951241891798364,20.312606638391962,80.8522856838281,0.0,
PWR,30.12B,944.58K,173.53,125.91,212.82,2.895786491798975,1.1254371355790203,5.346085358148085,162.69115546205825,0.9557146964856211,181.57092217730445,5.257906237445212,5.9664807577318575,236.4157065471548,0.0018440615585262013,-0.07041633765122153
NVDA,1.12T,46.75M,454.61,115.17,502.66,22.500999963637685,12.48713550600343,50.344265936181245,109.8901098901099,2.5062778452814904,181.3885025586632,40.81422689476775,83.10002619626918,176.81664364099052,0.0003519500344372497,-0.015998707175177762
GLW,50.27B,3.74M,27.93,27.8,37.1,2.399658411614005,0.9809739919706755,8.603145235892692,99.28825622775801,0.15611111111111112,178.9110339833324,4.293253676286628,15.50231284283577,81.21809458694088,0.039742212240302166,-0.9110320284697508
MCD,412.36B,2.65M,248.31,243.53,299.35,-46.21631893740874,4.580310059077752,47.77375913813005,134.35335872576178,1.3912511877210867,178.47963024228093,-82.48671515108038,63.46430745852495,246.43479215428547,0.024485522370339928,-0.47991689750692523
